,Date_initial_tag,Transect,Transect_num,Current_tag_num,Species,Meter,Meters_90,Direction,MaxDiameter,Height,PercentMortality,Notes,092022_Condition,092022_Percentage,102023_Condition,102023_Percentage,
163,10/19/23,Punta Caracol,5,41,DLAB,7,3.1,L,34,15,0,"40% BL margin, ",NA,NA,CLB,40%,
164,10/19/23,Punta Caracol,5,42,DLAB,6.1,0.45,L,25,10,0,"maybe pale , ok though ",NA,NA,CLP,,
165,10/19/23,Punta Caracol,5,43,MCAV,0,2.2,L,100,40,0,Red :)  ,NA,NA,Healthy ,NA,
166,10/19/23,Punta Caracol,5,44,DLAB,12.5,2.2,R,27,14,0,20% weird patchy bleaching halo ,NA,NA,CLP,20%,
167,10/19/23,Punta Caracol,5,45,DLAB,16.3,2.46,R,25,19,0,pale?,NA,NA,CLP,,
168,10/19/23,Punta Caracol,5,46,MCAV,16.3,5,R,20,11,0,some pale polyps ,NA,NA,some pale polyps,,
169,10/19/23,Punta Caracol,5,47,DLAB,19.7,4.1,L,30,20,0,healthy sponge on top ,NA,NA,Healthy,NA,
170,10/19/23,Punta Caracol,5,48,PSTR,25.3,0.22,L,26,26,0,90% BL 10% P,NA,NA,CLB;CLP,90;10,
171,10/19/23,Punta Caracol,5,49,MCAV,27.7,1,L,50,47,0,5% Pale,NA,NA,CLP,5%,
172,10/19/23,Punta Caracol,5,50,DLAB,28.8,0.16,R,20,16,0,Healthy ,NA,NA,Healthy,NA,
173,10/19/23,Punta Caracol,5,51,MCAV,30.2,1.62,L,36,28,0,Healthy ,NA,NA,Healthy,NA,
174,10/19/23,Punta Caracol,5,52,MCAV,35.4,1.1,R,60,64,0,Healthy ,NA,NA,healthy,NA,
175,10/19/23,Punta Caracol,5,53,DLAB,38.5,0.6,R,19,13,0,Healthy ,NA,NA,healthy,NA,
176,10/19/23,Punta Caracol,5,54,DLAB,39.4,0.33,R,24,18,0,"50% pale, weird pale halo",NA,NA,CLP,50%,
177,10/19/23,Punta Caracol,5,55,DLAB,41.6,3.5,L,29,16,0,70% BL ,NA,NA,CLB,70%,
178,10/19/23,Punta Caracol,5,56,CNAT,35.8,2.9,L,90,60,0,80% slight pale ,NA,NA,CLP,80%,
179,10/19/23,Punta Caracol,5,57,CNAT,32.3,2.43,L,18,5,0,Healthy ,NA,NA,Healthy,NA,
180,10/19/23,Punta Caracol,5,58,CNAT,31.5,3.6,L,44,20,0,Healthy ,NA,NA,Healthy,NA,
181,10/19/23,Punta Caracol,5,59,CNAT,32.3,1.6,R,31,10,0,Pale ,NA,NA,CLP,,
182,10/19/23,Punta Caracol,5,60,CNAT,35.7,4.3,L,35,26,0,Pale ,NA,NA,CLP,,
137,10/19/23,Punta Caracol,5,71,ORBI,20,1.9,R,90,55,0,Healthy / frannularis ,NA,NA,Healthy ,NA,
138,10/19/23,Punta Caracol,5,72,ORBI,21,3.1,R,95,85,0,BL/frannularis ,NA,NA,CLB,,
139,10/19/23,Punta Caracol,5,73,CNAT,20.2,0.85,R,45,28,0,BL,NA,NA,CLB,,
140,10/19/23,Punta Caracol,5,74,PAST,28.5,2.9,R,20,15,0,SLIGHTLY PALE ,NA,NA,CLP,,
141,10/19/23,Punta Caracol,5,75,PAST ,38.2,0.5,R,23,18,0,Healthy ,NA,NA,Healthy ,NA,
142,10/19/23,Punta Caracol,5,76,CNAT,37,2.1,L,95,50,0,BL,NA,NA,CLB,,
143,10/19/23,Punta Caracol,5,77,CNAT,45,0.2,R,85,65,0,BL,NA,NA,CLB,,
144,10/19/23,Punta Caracol,5,78,PAST,47.7,0.78,L,15,8,0,Healthy ,NA,NA,Healthy ,NA,
145,10/19/23,Punta Caracol,5,79,PAST,45.3,4.2,L,20,10,0,Healthy ,NA,NA,Healthy ,NA,
146,10/19/23,Punta Caracol,5,80,ORBI,45,3.6,L,55,70,0,BL,NA,NA,CLB,,
147,10/19/23,Punta Caracol,5,81,SSID,39,2.8,L,17,7,0,BL,NA,NA,CLB,,
148,10/19/23,Punta Caracol,5,82,PAST,37,7.1,L,20,20,0,Healthy ,NA,NA,Healthy,NA,
149,10/19/23,Punta Caracol,5,83,SSID,37,7,L,34,24,0,BLEACHED/ PALING  ,NA,NA,CLB,,
150,10/19/23,Punta Caracol,5,84,ORBI,26.6,1.8,L,90,95,0,Healthy /fave,NA,NA,Healthy,NA,
151,10/19/23,Punta Caracol,5,85,SSID,24.3,2.9,L,50,40,0,BL,NA,NA,CLB,,
152,10/19/23,Punta Caracol,5,86,SSID,15.3,2.15,R,38,37,0,BL,NA,NA,CLB,,
153,10/19/23,Punta Caracol,5,87,ORBI,10.4,0,L,55,100,0,BL,NA,NA,CLB,,
154,10/19/23,Punta Caracol,5,88,SSID,2.4,0.6,R,35,17,0,PALING ,NA,NA,CLP,,
155,10/19/23,Punta Caracol,5,89,CNAT,1,1.3,R,55,30,0,BL,NA,NA,CLB,,
156,10/19/23,Punta Caracol,5,90,CNAT,5,1,L,55,30,0,BL,NA,NA,CLB,,
157,10/19/23,Punta Caracol,5,91,CNAT,5.5,1.5,R,90,70,0,BL,NA,NA,CLB,,
158,10/19/23,Punta Caracol,5,92,ORBI,26.2,2.5,L,50,85,0,Healthy / fave,NA,NA,Healthy,NA,
160,10/19/23,Punta Caracol,5,93,ORBI,43.2,2.6,L,75,65,0,BL,NA,NA,CLB,,
159,10/19/23,Punta Caracol,5,94,ORBI,35.3,2.5,L,75,70,0,BL,NA,NA,CLB,,
161,10/19/23,Punta Caracol,5,95,ORBI,25.8,1.8,L,100,75,0,Healthy ,NA,NA,Healthy,NA,
162,10/19/23,Punta Caracol,5,96,ORBI,27.4,3.9,L,100,80,0,PALING ,NA,NA,Healthy,NA,
183,10/21/23,CK14,6,26,CNAT,47.9,2.4,L,0.9,0.35,0,TL from predation 2%,NA,NA,NA,NA,
184,10/21/23,CK14,6,27,CNAT,45.4,0.9,L,0.75,0.65,0,CLP 4%,NA,NA,CLP,4%,
185,10/21/23,CK14,6,28,ORBI,38.55,0.3,L,0.45,0.2,0,TL from predation 1%,NA,NA,NA,NA,
186,10/21/23,CK14,6,29,CNAT,28.85,0.5,R,0.4,0.45,0,Slight paling,NA,NA,CLP,,
187,10/21/23,CK14,6,30,MCAV,11.5,1.1,L,0.3,0.1,0,Healthy,NA,NA,Healthy,NA,
188,10/21/23,CK14,6,31,PAST,3.1,0.95,L,0.25,0.1,0,5% competition with Millepora,NA,NA,,,
189,10/21/23,CK14,6,32,PSTR,14.35,0.5,L,0.55,0.2,0,CLB 20%,NA,NA,CLB ,20%,
190,10/21/23,CK14,6,33,CNAT,14.35,0.6,L,0.5,0.55,0,CLP 100%,NA,NA,CLP ,100%,
208,10/24/23,CK14,6,34,PAST,2.4,0.9,R,15,10,0,10% damselfish predation,NA,NA,,,
209,10/24/23,CK14,6,35,PSTR,9.7,4.3,L,40,5,0,CLB 90%,NA,NA,CLP ,90%,
210,10/24/23,CK14,6,36,PSTR,11.8,2.4,L,35,25,0,CLB 80%,NA,NA,CLP ,80%,
211,10/24/23,CK14,6,37,CNAT,16,1.9,R,40,38,0,CLP 90%,NA,NA,CLP ,90%,
212,10/24/23,CK14,6,38,PAST,19.95,1.4,R,17,20,0,CLP,NA,NA,CLP,,
213,10/24/23,CK14,6,39,OFAV,13.55,6,R,35,40,0,Healthy,NA,NA,Healthy,NA,
214,10/24/23,CK14,6,40,PAST,26.9,1.65,R,20,15,0,Healthy,NA,NA,Healthy,NA,
191,10/21/23,CK14,6,69,PSTR,-0.5,1,L,25,13,0,Healthy,NA,NA,Healthy,NA,
192,10/21/23,CK14,6,70,SSID,-0.7,1.8,L,37,25,0,Healthy,NA,NA,Healthy,NA,
193,10/21/23,CK14,6,71,SSID,0,5.5,R,24,15,0,CLP 10%,NA,NA,CLP ,10%,
194,10/21/23,CK14,6,72,MCAV,9.4,1.7,R,15,28,0,CLP 20%,NA,NA,CLP ,20%,
195,10/21/23,CK14,6,73,MCAV,11.6,2.4,R,24,14,0,Healthy,NA,NA,Healthy,NA,
196,10/21/23,CK14,6,74,MCAV,13.3,0,R,35,55,0,CLP 10%,NA,NA,CLP ,10%,
197,10/21/23,CK14,6,75,PSTR,13.2,0.2,R,33,60,0,CLP 100%,NA,NA,CLP ,100%,
198,10/21/23,CK14,6,76,PSTR,13,4.3,L,27,5,0,CLP 100%,NA,NA,CLP ,100%,
199,10/21/23,CK14,6,77,MCAV,12.4,3.6,L,25,17,0,CLP 100%,NA,NA,CLP ,100%,
200,10/21/23,CK14,6,78,SSID,10.6,3.8,L,25,16,0,CLB 90%,NA,NA,CLB,5%,
201,10/21/23,CK14,6,79,MCAV,10.2,3.9,L,25,6,0,Healthy,NA,NA,Healthy,NA,
202,10/21/23,CK14,6,80,MMEA,31.5,1,L,40,18,0,CLP 45%,NA,NA,CLP,45%,
203,10/21/23,CK14,6,81,PSTR,0.5,6.3,L,47,18,0,CLP 20%,NA,NA,CLP,20%,
204,10/21/23,CK14,6,82,SSID,0.3,6.6,L,21,16,0,CLP 2%,NA,NA,CLP,2%,
205,10/21/23,CK14,6,83,MCAV,1.8,7.4,L,23,22,0,Healthy,NA,NA,Healthy,NA,
206,10/21/23,CK14,6,84,SSID,1.2,3.4,L,29,15,0,CLP 2%,NA,NA,CLP ,2%,
207,10/21/23,CK14,6,85,PSTR,-0.7,2.2,R,38,5,0,CLB 5%,NA,NA,CLB ,5%,
215,10/24/23,CK14,6,86,PSTR,31.05,0.35,L,30,25,0,CLB 100%,NA,NA,CLB ,100%,
216,10/24/23,CK14,6,87,OFAV,30.8,0.3,L,20,15,0,TL from predation 1%,NA,NA,NA,NA,
217,10/24/23,CK14,6,88,PAST,26.5,2.75,R,20,15,0,Healthy,NA,NA,Healthy,NA,
218,10/24/23,CK14,6,89,PSTR,12.6,5.4,L,35,30,0,CLB 100%,NA,NA,CLB ,100%,
219,10/24/23,CK14,6,90,PSTR,9.5,7.2,L,20,15,0,CLB 30%; CLP 70%,NA,NA,CLB; CLP ,30;70%,
